path,kind,w,h,tris,slice,tint,source,notes,asset_id,depth,pivot_roblox,instances,cells_json
"meshes/desk.fbx","mesh","9","3","872","","none","../../../docs/art/roblox-v0.5.0/lobby-source/lobby-cafe.blend","Tabletop Y=3.0; includes legs; top footprint9x7; board overhang0.4 at each Z end retained. OBJ alternative: meshes/desk.obj + meshes/desk.mtl; albedo textures/desk_albedo.png; Y-up; unit=stud; no custom properties.","desk","7","[0,2.7,0]","4",""
"textures/desk_albedo.png","texture","1024","1024","","","none","../../../docs/art/roblox-v0.5.0/lobby-source/lobby-cafe.blend","Baked albedo; original AI walnut documented in imagegen-prompts.md; alpha padding outside UV islands.","desk_albedo","","","",""
"meshes/chair.fbx","mesh","2.02","3.7","868","","multiply Color3; A=#7185BD B=#BD7180 preview only","../../../docs/art/roblox-v0.5.0/lobby-source/lobby-cafe.blend","Seat top Y=1.5; back top3.7; local back+Z; keep functional Roblox Seat2x0.5x2. OBJ alternative: meshes/chair.obj + meshes/chair.mtl; albedo textures/chair_albedo.png; Y-up; unit=stud; no custom properties.","chair","2.3","[0,1.25,0]","8",""
"textures/chair_albedo.png","texture","512","512","","","grayscale","../../../docs/art/roblox-v0.5.0/lobby-source/lobby-cafe.blend","Baked albedo; alpha padding outside UV islands.","chair_albedo","","","",""
"meshes/board.fbx","mesh","4.2","0.2","12","","none","../../../docs/art/roblox-v0.5.0/lobby-source/lobby-cafe.blend","91 cells; board-local coordinates; row1 localZ=-3.6; row13 localZ=+3.6; cell0.6; image top=row1; 448x832. OBJ alternative: meshes/board.obj + meshes/board.mtl; albedo textures/board_grid.png; Y-up; unit=stud; no custom properties.","board","7.8","[0,3.1,0]","4","[{""row"":1,""col"":1,""x"":-1.8,""y"":0.1,""z"":-3.6,""u"":0.071429,""v"":0.961538,""pixel_x"":32,""pixel_y"":32,""zone"":""red"",""hex"":""#5E2F3A""},{""row"":1,""col"":2,""x"":-1.2,""y"":0.1,""z"":-3.6,""u"":0.214286,""v"":0.961538,""pixel_x"":96,""pixel_y"":32,""zone"":""red"",""hex"":""#5E2F3A""},{""row"":1,""col"":3,""x"":-0.6,""y"":0.1,""z"":-3.6,""u"":0.357143,""v"":0.961538,""pixel_x"":160,""pixel_y"":32,""zone"":""red"",""hex"":""#5E2F3A""},{""row"":1,""col"":4,""x"":0,""y"":0.1,""z"":-3.6,""u"":0.5,""v"":0.961538,""pixel_x"":224,""pixel_y"":32,""zone"":""red"",""hex"":""#5E2F3A""},{""row"":1,""col"":5,""x"":0.6,""y"":0.1,""z"":-3.6,""u"":0.642857,""v"":0.961538,""pixel_x"":288,""pixel_y"":32,""zone"":""red"",""hex"":""#5E2F3A""},{""row"":1,""col"":6,""x"":1.2,""y"":0.1,""z"":-3.6,""u"":0.785714,""v"":0.961538,""pixel_x"":352,""pixel_y"":32,""zone"":""red"",""hex"":""#5E2F3A""},{""row"":1,""col"":7,""x"":1.8,""y"":0.1,""z"":-3.6,""u"":0.928571,""v"":0.961538,""pixel_x"":416,""pixel_y"":32,""zone"":""red"",""hex"":""#5E2F3A""},{""row"":2,""col"":1,""x"":-1.8,""y"":0.1,""z"":-3,""u"":0.071429,""v"":0.884615,""pixel_x"":32,""pixel_y"":96,""zone"":""red"",""hex"":""#5E2F3A""},{""row"":2,""col"":2,""x"":-1.2,""y"":0.1,""z"":-3,""u"":0.214286,""v"":0.884615,""pixel_x"":96,""pixel_y"":96,""zone"":""red"",""hex"":""#5E2F3A""},{""row"":2,""col"":3,""x"":-0.6,""y"":0.1,""z"":-3,""u"":0.357143,""v"":0.884615,""pixel_x"":160,""pixel_y"":96,""zone"":""red"",""hex"":""#5E2F3A""},{""row"":2,""col"":4,""x"":0,""y"":0.1,""z"":-3,""u"":0.5,""v"":0.884615,""pixel_x"":224,""pixel_y"":96,""zone"":""red"",""hex"":""#5E2F3A""},{""row"":2,""col"":5,""x"":0.6,""y"":0.1,""z"":-3,""u"":0.642857,""v"":0.884615,""pixel_x"":288,""pixel_y"":96,""zone"":""red"",""hex"":""#5E2F3A""},{""row"":2,""col"":6,""x"":1.2,""y"":0.1,""z"":-3,""u"":0.785714,""v"":0.884615,""pixel_x"":352,""pixel_y"":96,""zone"":""red"",""hex"":""#5E2F3A""},{""row"":2,""col"":7,""x"":1.8,""y"":0.1,""z"":-3,""u"":0.928571,""v"":0.884615,""pixel_x"":416,""pixel_y"":96,""zone"":""red"",""hex"":""#5E2F3A""},{""row"":3,""col"":1,""x"":-1.8,""y"":0.1,""z"":-2.4,""u"":0.071429,""v"":0.807692,""pixel_x"":32,""pixel_y"":160,""zone"":""red"",""hex"":""#5E2F3A""},{""row"":3,""col"":2,""x"":-1.2,""y"":0.1,""z"":-2.4,""u"":0.214286,""v"":0.807692,""pixel_x"":96,""pixel_y"":160,""zone"":""red"",""hex"":""#5E2F3A""},{""row"":3,""col"":3,""x"":-0.6,""y"":0.1,""z"":-2.4,""u"":0.357143,""v"":0.807692,""pixel_x"":160,""pixel_y"":160,""zone"":""red"",""hex"":""#5E2F3A""},{""row"":3,""col"":4,""x"":0,""y"":0.1,""z"":-2.4,""u"":0.5,""v"":0.807692,""pixel_x"":224,""pixel_y"":160,""zone"":""red"",""hex"":""#5E2F3A""},{""row"":3,""col"":5,""x"":0.6,""y"":0.1,""z"":-2.4,""u"":0.642857,""v"":0.807692,""pixel_x"":288,""pixel_y"":160,""zone"":""red"",""hex"":""#5E2F3A""},{""row"":3,""col"":6,""x"":1.2,""y"":0.1,""z"":-2.4,""u"":0.785714,""v"":0.807692,""pixel_x"":352,""pixel_y"":160,""zone"":""red"",""hex"":""#5E2F3A""},{""row"":3,""col"":7,""x"":1.8,""y"":0.1,""z"":-2.4,""u"":0.928571,""v"":0.807692,""pixel_x"":416,""pixel_y"":160,""zone"":""red"",""hex"":""#5E2F3A""},{""row"":4,""col"":1,""x"":-1.8,""y"":0.1,""z"":-1.8,""u"":0.071429,""v"":0.730769,""pixel_x"":32,""pixel_y"":224,""zone"":""forest"",""hex"":""#23422F""},{""row"":4,""col"":2,""x"":-1.2,""y"":0.1,""z"":-1.8,""u"":0.214286,""v"":0.730769,""pixel_x"":96,""pixel_y"":224,""zone"":""forest"",""hex"":""#23422F""},{""row"":4,""col"":3,""x"":-0.6,""y"":0.1,""z"":-1.8,""u"":0.357143,""v"":0.730769,""pixel_x"":160,""pixel_y"":224,""zone"":""forest"",""hex"":""#23422F""},{""row"":4,""col"":4,""x"":0,""y"":0.1,""z"":-1.8,""u"":0.5,""v"":0.730769,""pixel_x"":224,""pixel_y"":224,""zone"":""forest"",""hex"":""#23422F""},{""row"":4,""col"":5,""x"":0.6,""y"":0.1,""z"":-1.8,""u"":0.642857,""v"":0.730769,""pixel_x"":288,""pixel_y"":224,""zone"":""forest"",""hex"":""#23422F""},{""row"":4,""col"":6,""x"":1.2,""y"":0.1,""z"":-1.8,""u"":0.785714,""v"":0.730769,""pixel_x"":352,""pixel_y"":224,""zone"":""forest"",""hex"":""#23422F""},{""row"":4,""col"":7,""x"":1.8,""y"":0.1,""z"":-1.8,""u"":0.928571,""v"":0.730769,""pixel_x"":416,""pixel_y"":224,""zone"":""forest"",""hex"":""#23422F""},{""row"":5,""col"":1,""x"":-1.8,""y"":0.1,""z"":-1.2,""u"":0.071429,""v"":0.653846,""pixel_x"":32,""pixel_y"":288,""zone"":""forest"",""hex"":""#23422F""},{""row"":5,""col"":2,""x"":-1.2,""y"":0.1,""z"":-1.2,""u"":0.214286,""v"":0.653846,""pixel_x"":96,""pixel_y"":288,""zone"":""forest"",""hex"":""#23422F""},{""row"":5,""col"":3,""x"":-0.6,""y"":0.1,""z"":-1.2,""u"":0.357143,""v"":0.653846,""pixel_x"":160,""pixel_y"":288,""zone"":""forest"",""hex"":""#23422F""},{""row"":5,""col"":4,""x"":0,""y"":0.1,""z"":-1.2,""u"":0.5,""v"":0.653846,""pixel_x"":224,""pixel_y"":288,""zone"":""forest"",""hex"":""#23422F""},{""row"":5,""col"":5,""x"":0.6,""y"":0.1,""z"":-1.2,""u"":0.642857,""v"":0.653846,""pixel_x"":288,""pixel_y"":288,""zone"":""forest"",""hex"":""#23422F""},{""row"":5,""col"":6,""x"":1.2,""y"":0.1,""z"":-1.2,""u"":0.785714,""v"":0.653846,""pixel_x"":352,""pixel_y"":288,""zone"":""forest"",""hex"":""#23422F""},{""row"":5,""col"":7,""x"":1.8,""y"":0.1,""z"":-1.2,""u"":0.928571,""v"":0.653846,""pixel_x"":416,""pixel_y"":288,""zone"":""forest"",""hex"":""#23422F""},{""row"":6,""col"":1,""x"":-1.8,""y"":0.1,""z"":-0.6,""u"":0.071429,""v"":0.576923,""pixel_x"":32,""pixel_y"":352,""zone"":""center"",""hex"":""#2B3140""},{""row"":6,""col"":2,""x"":-1.2,""y"":0.1,""z"":-0.6,""u"":0.214286,""v"":0.576923,""pixel_x"":96,""pixel_y"":352,""zone"":""center"",""hex"":""#2B3140""},{""row"":6,""col"":3,""x"":-0.6,""y"":0.1,""z"":-0.6,""u"":0.357143,""v"":0.576923,""pixel_x"":160,""pixel_y"":352,""zone"":""center"",""hex"":""#2B3140""},{""row"":6,""col"":4,""x"":0,""y"":0.1,""z"":-0.6,""u"":0.5,""v"":0.576923,""pixel_x"":224,""pixel_y"":352,""zone"":""center"",""hex"":""#2B3140""},{""row"":6,""col"":5,""x"":0.6,""y"":0.1,""z"":-0.6,""u"":0.642857,""v"":0.576923,""pixel_x"":288,""pixel_y"":352,""zone"":""center"",""hex"":""#2B3140""},{""row"":6,""col"":6,""x"":1.2,""y"":0.1,""z"":-0.6,""u"":0.785714,""v"":0.576923,""pixel_x"":352,""pixel_y"":352,""zone"":""center"",""hex"":""#2B3140""},{""row"":6,""col"":7,""x"":1.8,""y"":0.1,""z"":-0.6,""u"":0.928571,""v"":0.576923,""pixel_x"":416,""pixel_y"":352,""zone"":""center"",""hex"":""#2B3140""},{""row"":7,""col"":1,""x"":-1.8,""y"":0.1,""z"":0,""u"":0.071429,""v"":0.5,""pixel_x"":32,""pixel_y"":416,""zone"":""center"",""hex"":""#2B3140""},{""row"":7,""col"":2,""x"":-1.2,""y"":0.1,""z"":0,""u"":0.214286,""v"":0.5,""pixel_x"":96,""pixel_y"":416,""zone"":""center"",""hex"":""#2B3140""},{""row"":7,""col"":3,""x"":-0.6,""y"":0.1,""z"":0,""u"":0.357143,""v"":0.5,""pixel_x"":160,""pixel_y"":416,""zone"":""center"",""hex"":""#2B3140""},{""row"":7,""col"":4,""x"":0,""y"":0.1,""z"":0,""u"":0.5,""v"":0.5,""pixel_x"":224,""pixel_y"":416,""zone"":""center"",""hex"":""#2B3140""},{""row"":7,""col"":5,""x"":0.6,""y"":0.1,""z"":0,""u"":0.642857,""v"":0.5,""pixel_x"":288,""pixel_y"":416,""zone"":""center"",""hex"":""#2B3140""},{""row"":7,""col"":6,""x"":1.2,""y"":0.1,""z"":0,""u"":0.785714,""v"":0.5,""pixel_x"":352,""pixel_y"":416,""zone"":""center"",""hex"":""#2B3140""},{""row"":7,""col"":7,""x"":1.8,""y"":0.1,""z"":0,""u"":0.928571,""v"":0.5,""pixel_x"":416,""pixel_y"":416,""zone"":""center"",""hex"":""#2B3140""},{""row"":8,""col"":1,""x"":-1.8,""y"":0.1,""z"":0.6,""u"":0.071429,""v"":0.423077,""pixel_x"":32,""pixel_y"":480,""zone"":""center"",""hex"":""#2B3140""},{""row"":8,""col"":2,""x"":-1.2,""y"":0.1,""z"":0.6,""u"":0.214286,""v"":0.423077,""pixel_x"":96,""pixel_y"":480,""zone"":""center"",""hex"":""#2B3140""},{""row"":8,""col"":3,""x"":-0.6,""y"":0.1,""z"":0.6,""u"":0.357143,""v"":0.423077,""pixel_x"":160,""pixel_y"":480,""zone"":""center"",""hex"":""#2B3140""},{""row"":8,""col"":4,""x"":0,""y"":0.1,""z"":0.6,""u"":0.5,""v"":0.423077,""pixel_x"":224,""pixel_y"":480,""zone"":""center"",""hex"":""#2B3140""},{""row"":8,""col"":5,""x"":0.6,""y"":0.1,""z"":0.6,""u"":0.642857,""v"":0.423077,""pixel_x"":288,""pixel_y"":480,""zone"":""center"",""hex"":""#2B3140""},{""row"":8,""col"":6,""x"":1.2,""y"":0.1,""z"":0.6,""u"":0.785714,""v"":0.423077,""pixel_x"":352,""pixel_y"":480,""zone"":""center"",""hex"":""#2B3140""},{""row"":8,""col"":7,""x"":1.8,""y"":0.1,""z"":0.6,""u"":0.928571,""v"":0.423077,""pixel_x"":416,""pixel_y"":480,""zone"":""center"",""hex"":""#2B3140""},{""row"":9,""col"":1,""x"":-1.8,""y"":0.1,""z"":1.2,""u"":0.071429,""v"":0.346154,""pixel_x"":32,""pixel_y"":544,""zone"":""forest"",""hex"":""#23422F""},{""row"":9,""col"":2,""x"":-1.2,""y"":0.1,""z"":1.2,""u"":0.214286,""v"":0.346154,""pixel_x"":96,""pixel_y"":544,""zone"":""forest"",""hex"":""#23422F""},{""row"":9,""col"":3,""x"":-0.6,""y"":0.1,""z"":1.2,""u"":0.357143,""v"":0.346154,""pixel_x"":160,""pixel_y"":544,""zone"":""forest"",""hex"":""#23422F""},{""row"":9,""col"":4,""x"":0,""y"":0.1,""z"":1.2,""u"":0.5,""v"":0.346154,""pixel_x"":224,""pixel_y"":544,""zone"":""forest"",""hex"":""#23422F""},{""row"":9,""col"":5,""x"":0.6,""y"":0.1,""z"":1.2,""u"":0.642857,""v"":0.346154,""pixel_x"":288,""pixel_y"":544,""zone"":""forest"",""hex"":""#23422F""},{""row"":9,""col"":6,""x"":1.2,""y"":0.1,""z"":1.2,""u"":0.785714,""v"":0.346154,""pixel_x"":352,""pixel_y"":544,""zone"":""forest"",""hex"":""#23422F""},{""row"":9,""col"":7,""x"":1.8,""y"":0.1,""z"":1.2,""u"":0.928571,""v"":0.346154,""pixel_x"":416,""pixel_y"":544,""zone"":""forest"",""hex"":""#23422F""},{""row"":10,""col"":1,""x"":-1.8,""y"":0.1,""z"":1.8,""u"":0.071429,""v"":0.269231,""pixel_x"":32,""pixel_y"":608,""zone"":""forest"",""hex"":""#23422F""},{""row"":10,""col"":2,""x"":-1.2,""y"":0.1,""z"":1.8,""u"":0.214286,""v"":0.269231,""pixel_x"":96,""pixel_y"":608,""zone"":""forest"",""hex"":""#23422F""},{""row"":10,""col"":3,""x"":-0.6,""y"":0.1,""z"":1.8,""u"":0.357143,""v"":0.269231,""pixel_x"":160,""pixel_y"":608,""zone"":""forest"",""hex"":""#23422F""},{""row"":10,""col"":4,""x"":0,""y"":0.1,""z"":1.8,""u"":0.5,""v"":0.269231,""pixel_x"":224,""pixel_y"":608,""zone"":""forest"",""hex"":""#23422F""},{""row"":10,""col"":5,""x"":0.6,""y"":0.1,""z"":1.8,""u"":0.642857,""v"":0.269231,""pixel_x"":288,""pixel_y"":608,""zone"":""forest"",""hex"":""#23422F""},{""row"":10,""col"":6,""x"":1.2,""y"":0.1,""z"":1.8,""u"":0.785714,""v"":0.269231,""pixel_x"":352,""pixel_y"":608,""zone"":""forest"",""hex"":""#23422F""},{""row"":10,""col"":7,""x"":1.8,""y"":0.1,""z"":1.8,""u"":0.928571,""v"":0.269231,""pixel_x"":416,""pixel_y"":608,""zone"":""forest"",""hex"":""#23422F""},{""row"":11,""col"":1,""x"":-1.8,""y"":0.1,""z"":2.4,""u"":0.071429,""v"":0.192308,""pixel_x"":32,""pixel_y"":672,""zone"":""blue"",""hex"":""#2F3A5E""},{""row"":11,""col"":2,""x"":-1.2,""y"":0.1,""z"":2.4,""u"":0.214286,""v"":0.192308,""pixel_x"":96,""pixel_y"":672,""zone"":""blue"",""hex"":""#2F3A5E""},{""row"":11,""col"":3,""x"":-0.6,""y"":0.1,""z"":2.4,""u"":0.357143,""v"":0.192308,""pixel_x"":160,""pixel_y"":672,""zone"":""blue"",""hex"":""#2F3A5E""},{""row"":11,""col"":4,""x"":0,""y"":0.1,""z"":2.4,""u"":0.5,""v"":0.192308,""pixel_x"":224,""pixel_y"":672,""zone"":""blue"",""hex"":""#2F3A5E""},{""row"":11,""col"":5,""x"":0.6,""y"":0.1,""z"":2.4,""u"":0.642857,""v"":0.192308,""pixel_x"":288,""pixel_y"":672,""zone"":""blue"",""hex"":""#2F3A5E""},{""row"":11,""col"":6,""x"":1.2,""y"":0.1,""z"":2.4,""u"":0.785714,""v"":0.192308,""pixel_x"":352,""pixel_y"":672,""zone"":""blue"",""hex"":""#2F3A5E""},{""row"":11,""col"":7,""x"":1.8,""y"":0.1,""z"":2.4,""u"":0.928571,""v"":0.192308,""pixel_x"":416,""pixel_y"":672,""zone"":""blue"",""hex"":""#2F3A5E""},{""row"":12,""col"":1,""x"":-1.8,""y"":0.1,""z"":3,""u"":0.071429,""v"":0.115385,""pixel_x"":32,""pixel_y"":736,""zone"":""blue"",""hex"":""#2F3A5E""},{""row"":12,""col"":2,""x"":-1.2,""y"":0.1,""z"":3,""u"":0.214286,""v"":0.115385,""pixel_x"":96,""pixel_y"":736,""zone"":""blue"",""hex"":""#2F3A5E""},{""row"":12,""col"":3,""x"":-0.6,""y"":0.1,""z"":3,""u"":0.357143,""v"":0.115385,""pixel_x"":160,""pixel_y"":736,""zone"":""blue"",""hex"":""#2F3A5E""},{""row"":12,""col"":4,""x"":0,""y"":0.1,""z"":3,""u"":0.5,""v"":0.115385,""pixel_x"":224,""pixel_y"":736,""zone"":""blue"",""hex"":""#2F3A5E""},{""row"":12,""col"":5,""x"":0.6,""y"":0.1,""z"":3,""u"":0.642857,""v"":0.115385,""pixel_x"":288,""pixel_y"":736,""zone"":""blue"",""hex"":""#2F3A5E""},{""row"":12,""col"":6,""x"":1.2,""y"":0.1,""z"":3,""u"":0.785714,""v"":0.115385,""pixel_x"":352,""pixel_y"":736,""zone"":""blue"",""hex"":""#2F3A5E""},{""row"":12,""col"":7,""x"":1.8,""y"":0.1,""z"":3,""u"":0.928571,""v"":0.115385,""pixel_x"":416,""pixel_y"":736,""zone"":""blue"",""hex"":""#2F3A5E""},{""row"":13,""col"":1,""x"":-1.8,""y"":0.1,""z"":3.6,""u"":0.071429,""v"":0.038462,""pixel_x"":32,""pixel_y"":800,""zone"":""blue"",""hex"":""#2F3A5E""},{""row"":13,""col"":2,""x"":-1.2,""y"":0.1,""z"":3.6,""u"":0.214286,""v"":0.038462,""pixel_x"":96,""pixel_y"":800,""zone"":""blue"",""hex"":""#2F3A5E""},{""row"":13,""col"":3,""x"":-0.6,""y"":0.1,""z"":3.6,""u"":0.357143,""v"":0.038462,""pixel_x"":160,""pixel_y"":800,""zone"":""blue"",""hex"":""#2F3A5E""},{""row"":13,""col"":4,""x"":0,""y"":0.1,""z"":3.6,""u"":0.5,""v"":0.038462,""pixel_x"":224,""pixel_y"":800,""zone"":""blue"",""hex"":""#2F3A5E""},{""row"":13,""col"":5,""x"":0.6,""y"":0.1,""z"":3.6,""u"":0.642857,""v"":0.038462,""pixel_x"":288,""pixel_y"":800,""zone"":""blue"",""hex"":""#2F3A5E""},{""row"":13,""col"":6,""x"":1.2,""y"":0.1,""z"":3.6,""u"":0.785714,""v"":0.038462,""pixel_x"":352,""pixel_y"":800,""zone"":""blue"",""hex"":""#2F3A5E""},{""row"":13,""col"":7,""x"":1.8,""y"":0.1,""z"":3.6,""u"":0.928571,""v"":0.038462,""pixel_x"":416,""pixel_y"":800,""zone"":""blue"",""hex"":""#2F3A5E""}]"
"textures/board_grid.png","texture","448","832","","","none","../../../docs/art/roblox-v0.5.0/lobby-source/lobby-cafe.blend","Exact palette; albedo only; pixel coordinates top-left; UV bottom-left; cells_json on board mesh row.","board_grid","","","",""
"meshes/floor.fbx","mesh","140","1","12","","none","../../../docs/art/roblox-v0.5.0/lobby-source/lobby-cafe.blend","Top Y=0; top UV0..14 repeats; tile10x10stud; walls are separate. OBJ alternative: meshes/floor.obj + meshes/floor.mtl; albedo textures/floor_tile.png; Y-up; unit=stud; no custom properties.","floor","140","[0,-0.5,0]","1",""
"textures/floor_tile.png","texture","1024","1024","","","none","../../../docs/art/roblox-v0.5.0/lobby-source/lobby-cafe.blend","Seamless mirrored generated walnut + periodic plank joints; repeat14x14 over140x140.","floor_tile","","","",""
"meshes/wall.fbx","mesh","140","12","1608","","none","../../../docs/art/roblox-v0.5.0/lobby-source/lobby-cafe.blend","Feature face local-Z; wall centerY6; mirror or rotate for room orientation; decorative panels not collision. OBJ alternative: meshes/wall.obj + meshes/wall.mtl; albedo textures/wall_albedo.png; Y-up; unit=stud; no custom properties.","wall","0.89","[0,6,0]","4",""
"textures/wall_albedo.png","texture","1024","1024","","","none","../../../docs/art/roblox-v0.5.0/lobby-source/lobby-cafe.blend","Baked albedo; original AI walnut documented in imagegen-prompts.md; alpha padding outside UV islands.","wall_albedo","","","",""
